Address,Size,Type,Decompiled,Library,Obj,Name
8001F800,00001C,F,F,,,
8001F820,000138,F,F,,,
8001F960,000008,F,F,,,
8001F970,00003C,F,F,,,SetVisible__11CAttachmentFb
8001F9B0,000010,F,F,,,
8001F9C0,000018,F,F,,,
8001F9E0,000008,F,F,,,
8001F9F0,00004C,F,F,,,GetLocatorWorldTranslation__11CAttachmentCFRCi
8001FA40,000018,F,F,,,__ct__18CAttachmentManagerFv
8001FA60,00009C,F,F,,,__dt__18CAttachmentManagerFv
8001FB00,000084,F,F,,,
8001FB90,000124,F,F,,,AddAttachment__18CAttachmentManagerFRC8CAssetIDRCiRC9CVector3f
8001FCC0,000164,F,F,,,
8001FE30,000008,F,F,,,RemoveAll__18CAttachmentManagerFv
8001FE40,000150,F,F,,,
8001FF90,000008,F,F,,,
8001FFA0,000010,F,F,,,
8001FFB0,000038,F,F,,,Attachment__18CAttachmentManagerFUc
8001FFF0,000038,F,F,,,GetAttachment__18CAttachmentManagerCFUc
80020030,000074,F,F,,,RenderUnsorted__18CAttachmentManagerCFRC14CRenderManagerRC12CActorLightsRC11CModelFlags
800200B0,00007C,F,F,,,AddSorted__18CAttachmentManagerCFRC14CRenderManagerPC12CActorLights
80020130,00007C,F,F,,,RenderSorted__18CAttachmentManagerCFRC14CRenderManagerPC12CActorLightsRC11CModelFlagsb
800201B0,000144,F,F,,,
80020300,0000E4,F,F,,,AdjustRenderActorBounds__18CAttachmentManagerCFR12CRenderActor
800203F0,00007C,F,F,,,PreRenderForWholeScene__18CAttachmentManagerFR14CRenderManager
80020470,0000EC,F,F,,,
80020560,0001C8,F,F,,,Update__18CAttachmentManagerFR13CStateManagerRC12CRenderActorff
80020730,0000CC,F,F,,,
80020800,000068,F,F,,,
80020840,000028,F,F,,,
80020870,00006C,F,F,,,
800208E0,000010,F,F,,,
800208F0,000034,F,F,,,
80020930,0000D8,F,F,,,__dt__26CPatternedCollisionManagerFv
80020A10,0000D8,F,F,,,
80020AF0,000008,F,F,,,ReserveCollisionSets__26CPatternedCollisionManagerFUi
80020B00,00034C,F,F,,,
80020E50,0000C8,F,F,,,
80020F20,0001A8,F,F,,,
800210C0,000008,F,F,,,
